GEOID,happening,human
18155,56.578,42.923
18157,69.599,51.871
18159,60.796,44.973
18161,59.1,44.072
18163,66.643,48.823
18165,55.504,43
18167,66.638,50.976
18169,59.584,44.351
18171,60.91,45.224
18173,58.717,42.791
18175,62.334,46.731
18177,65.121,49.663
18179,58.311,43.22
18181,63.663,47.002
18183,61.06,46.389
19001,65.255,48.829
19003,67.28,50.872
19005,66.433,49.955
19007,66.497,49.32
19009,66.101,49.593
19011,67.324,49.879
19013,70.445,54.752
19015,67.659,50.914
19017,67.154,49.779
19019,67.525,50.475
19021,70.208,52.484
19023,63.834,46.939
19025,64.137,47.044
19027,65.308,48.655
19029,63.92,47.265
19031,66.876,50.062
19033,68.442,51.827
19035,64.481,47.523
19037,67.21,50.118
19039,67.126,49.911
19041,66.49,49.308
19043,66.094,49.421
19045,67.425,51.839
19047,66.931,50.616
19049,67.635,50.405
19051,67.918,50.234
19053,69.876,52.692
19055,66.261,49.546
19057,70.553,54.131
19059,64.015,46.524
19061,68.664,52.012
19063,65.586,48.534
19065,69.928,52.896
19067,67.604,50.894
19069,64.687,47.896
19071,58.397,44.064
19073,66.213,48.797
19075,62.92,45.187
19077,65.843,48.74
19079,65.225,48.203
19081,63.174,46.333
19083,63.882,46.751
19085,64.894,48.218
19087,65.402,48.956
19089,69.981,53.753
19091,62.606,45.499
19093,62.558,45.522
19095,67.141,49.348
19097,67.885,51.096
19099,66.647,49.991
19101,72.413,53.734
19103,78.896,61.225
19105,67.338,51.211
19107,67.51,50.627
19109,63.599,46.963
19111,66.196,50.351
19113,70.409,52.952
19115,65.605,48.723
19117,63.668,47.642
19119,57.527,41.78
19121,64.968,48.187
19123,64.154,47.754
19125,65.247,48.16
19127,69.755,52.203
19129,59.585,44.638
19131,67.338,50.031
19133,64.466,47.717
19135,61.006,45.578
19137,62.769,45.897
19139,63.843,49.923
19141,62.335,45.282
19143,62.394,45.969
19145,62.107,45.342
19147,65.614,48.799
19149,61.85,45.259
19151,65.356,47.923
19153,67.763,52.731
19155,64.479,49.705
19157,72.017,53.525
19159,67.526,50.838
19161,63.028,46.25
19163,68.021,51.096
19165,63.767,46.845
19167,60.545,43.012
19169,73.869,54.792
19171,68.442,52.023
19173,67.454,51.296
19175,68.351,51.794
19177,65.784,47.913
19179,64.548,49.332
19181,65.381,48.711
19183,68.903,52.968
19185,66.077,49.302
19187,65.458,49.801
19189,69.139,51.432
19191,72.216,54.046
19193,65.354,50.287
19195,68.037,51.063
19197,65.199,48.339
20001,62.559,45.585
20003,61.414,44.316
20005,64.534,46.963
20007,57.731,41.482
20009,58.545,43.663
20011,63.639,47.278
20013,60.978,44.256
20015,59.834,43.866
20017,62.533,45.028
20019,59.496,43.058
20021,60.022,43.486
20023,61.248,44.689
20025,62.315,46.416
20027,62.901,46.806
20029,61.384,45.063
20031,59.604,43.295
20033,61.046,43.915
20035,62.705,46.087
20037,66.16,48.997
20039,59.711,42.952
20041,60.093,43.303
20043,58.442,42.406
20045,75.754,57.66
20047,61.899,46.157
20049,61.785,45.402
20051,60.098,43.635
20053,61.284,44.343
20055,64.105,48.389
20057,64.586,49.785
20059,64.175,47.494
20061,67.767,49.893
20063,60.152,42.157
20065,60.721,42.886
20067,61.698,45.762
20069,58.185,41.706
20071,61.654,46.185
20073,58.809,42.692
20075,60.9,44.382
20077,59.791,43.61
20079,66.503,49.236
20081,59.703,44.473
20083,58.844,41.877
20085,63.011,45.297
20087,60.026,44.962
20089,58.668,42.312
20091,71.834,50.082
20093,62.079,45.535
20095,60.21,43.04
20097,59.34,41.843
20099,65.252,47.354
20101,61.237,44.936
20103,66.564,49.59
20105,60.972,44.703
20107,52.778,39.508
20109,61.832,45.593
20111,68.554,51.525
20113,60.435,44.69
20115,63.455,47.061
20117,60.6,44.105
20119,59.048,42.519
20121,61.543,44.55
20123,56.809,40.712
20125,61.725,44.599
20127,61.839,46.457
20129,58.306,42.272
20131,59.241,42.575
20133,60.896,44.112
20135,58.331,41.429
20137,56.135,40.933
20139,61.818,45.646
20141,58.543,41.83
20143,61.984,46.145
20145,60.655,44.038
20147,59.034,43.2
20149,53.971,41.005
20151,60.497,43.801
20153,64.178,46.929
20155,61.646,45.806
